X,Y,fid,GEOID,NAME,UATYPE,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,Tmax1,icon_url
-92.095966,29.967156,"1","37","Abbeville, LA Urban Cluster",C,"29189594","298416",11.27,0.115,29.967156,-92.095966,29.1265811920166,./0.png
-82.379776,34.179273,"2","64","Abbeville, SC Urban Cluster",C,"11271121","19786",4.352,0.008,34.179273,-82.379776,28.7108974456787,./0.png
-90.315875,44.948612,"3","91","Abbotsford, WI Urban Cluster",C,"5394605","13221",2.083,0.005,44.948612,-90.315875,6.47607040405273,./0.png
-88.554591,33.824742,"4","118","Aberdeen, MS Urban Cluster",C,"7416339","52820",2.863,0.02,33.824742,-88.554591,28.6615886688232,./0.png
-98.471033,45.463186,"5","145","Aberdeen, SD Urban Cluster",C,"33035011","120864",12.755,0.047,45.463186,-98.471033,6.82431173324585,./0.png
-123.796056,46.976365,"6","172","Aberdeen, WA Urban Cluster",C,"40024137","1932719",15.453,0.746,46.976365,-123.796056,13.2381410598755,./0.png
-76.303492,39.50893,"7","199","Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area",U,"339739357","9827161",131.174,3.794,39.50893,-76.303492,17.1221256256104,./0.png
-101.846278,33.830523,"8","226","Abernathy, TX Urban Cluster",C,"3051035","12572",1.178,0.005,33.830523,-101.846278,29.4452590942383,./0.png
-97.220768,38.921855,"9","253","Abilene, KS Urban Cluster",C,"8744553","1877",3.376,0.001,38.921855,-97.220768,13.712664604187,./0.png
-99.747194,32.428784,"10","280","Abilene, TX Urbanized Area",U,"141784244","1002809",54.743,0.387,32.428784,-99.747194,28.6345443725586,./0.png
-90.401517,40.804173,"11","334","Abingdon, IL Urban Cluster",C,"3739878","0",1.444,0,40.804173,-90.401517,15.6429233551025,./0.png
-83.82466,40.767231,"12","388","Ada, OH Urban Cluster",C,"4755113","0",1.836,0,40.767231,-83.82466,24.1146411895752,./0.png
-96.669103,34.774803,"13","415","Ada, OK Urban Cluster",C,"30913554","89141",11.936,0.034,34.774803,-96.669103,22.5497817993164,./0.png
-76.021178,43.808664,"14","450","Adams, NY Urban Cluster",C,"5100412","13914",1.969,0.005,43.808664,-76.021178,13.3382301330566,./0.png
-83.429099,31.145731,"15","469","Adel, GA Urban Cluster",C,"15745461","149881",6.079,0.058,31.145731,-83.429099,31.2494297027588,./0.png
-94.021031,41.612188,"16","496","Adel, IA Urban Cluster",C,"4596496","0",1.775,0,41.612188,-94.021031,12.2769002914429,./0.png
-66.729934,18.166604,"17","550","Adjuntas, PR Urban Cluster",C,"20440782","156184",7.892,0.06,18.166604,-66.729934,,./0.png
-84.031176,41.909568,"18","577","Adrian, MI Urban Cluster",C,"62195867","614875",24.014,0.237,41.909568,-84.031176,20.9082279205322,./0.png
144.669527,13.39108,"19","604","Agat, GU Urban Cluster",C,"12701668","2939",4.904,0.001,13.39108,144.669527,,./0.png
-67.040996,18.370709,"20","631","Aguadilla--Isabela--San Sebastián, PR Urbanized Area",U,"619742638","894872",239.284,0.346,18.370709,-67.040996,,./0.png
-76.983286,36.287867,"21","658","Ahoskie, NC Urban Cluster",C,"7548519","0",2.914,0,36.287867,-76.983286,30.1214904785156,./0.png
-104.858324,38.985935,"22","676","Air Force Academy, CO Urban Cluster",C,"6458865","0",2.494,0,38.985935,-104.858324,11.1110763549805,./0.png
-112.868897,32.388725,"23","712","Ajo, AZ Urban Cluster",C,"6916368","0",2.67,0,32.388725,-112.868897,25.4150810241699,./0.png
-78.493346,43.020471,"24","739","Akron, NY Urban Cluster",C,"6779977","0",2.618,0,43.020471,-78.493346,23.0379905700684,./0.png
-81.491897,41.066225,"25","766","Akron, OH Urbanized Area",U,"842815514","17431799",325.413,6.73,41.066225,-81.491897,28.4745273590088,./0.png
-82.507967,29.791157,"26","793","Alachua, FL Urban Cluster",C,"9777104","31222",3.775,0.012,29.791157,-82.507967,30.9932632446289,./0.png
-105.949622,32.902624,"27","820","Alamogordo, NM Urban Cluster",C,"42964761","52140",16.589,0.02,32.902624,-105.949622,26.5040016174316,./0.png
-105.872135,37.459931,"28","847","Alamosa, CO Urban Cluster",C,"18820657","39885",7.267,0.015,37.459931,-105.872135,14.0351696014404,./0.png
-84.168827,31.591097,"29","901","Albany, GA Urbanized Area",U,"183459979","2790604",70.834,1.077,31.591097,-84.168827,30.695369720459,./0.png
-94.569355,45.630888,"30","921","Albany, MN Urban Cluster",C,"4338914","285660",1.675,0.11,45.630888,-94.569355,7.15470266342163,./0.png
-123.090049,44.630088,"31","955","Albany, OR Urbanized Area",U,"61948340","288649",23.918,0.111,44.630088,-123.090049,18.5769195556641,./0.png
-73.799436,42.743895,"32","970","Albany--Schenectady, NY Urbanized Area",U,"765902446","16203162",295.717,6.256,42.743895,-73.799436,12.4903717041016,./0.png
